ReadID	Length
m84085_250303_235918_s4/260575164/ccs	6404
m84085_250303_235918_s4/244257287/ccs	6061
m84085_250303_235918_s4/259921450/ccs	7767
m84085_250303_235918_s4/227808666/ccs	8189
m84085_250303_235918_s4/245829397/ccs	9350
m84085_250303_235918_s4/256382553/ccs	4438
m84085_250303_235918_s4/264836185/ccs	3641
m84085_250303_235918_s4/226693401/ccs	13258
m84085_250303_235918_s4/216468897/ccs	11889
m84085_250303_235918_s4/250024007/ccs	6195
m84085_250303_235918_s4/252907132/ccs	7760
m84085_250303_235918_s4/228135277/ccs	16366
m84085_250303_235918_s4/238554783/ccs	14007
m84085_250303_235918_s4/233181451/ccs	13054
m84085_250303_235918_s4/228202119/ccs	11306
m84085_250303_235918_s4/249761167/ccs	9252
m84085_250303_235918_s4/216141633/ccs	8076
m84085_250303_235918_s4/237702894/ccs	9851
m84085_250303_235918_s4/246746413/ccs	11021
m84085_250303_235918_s4/211883228/ccs	7203
m84085_250303_235918_s4/243928535/ccs	4888
m84085_250303_235918_s4/264311476/ccs	12733
m84085_250303_235918_s4/259397287/ccs	23786
m84085_250303_235918_s4/237834582/ccs	9006
m84085_250303_235918_s4/225711269/ccs	4624
m84085_250303_235918_s4/228398999/ccs	17239
m84085_250303_235918_s4/222040543/ccs	7126
m84085_250303_235918_s4/232461534/ccs	16044
m84085_250303_235918_s4/262214286/ccs	13576
m84085_250303_235918_s4/243078837/ccs	10928
m84085_250303_235918_s4/265295045/ccs	5308
m84085_250303_235918_s4/226760461/ccs	10010
m84085_250303_235918_s4/238491355/ccs	7817
m84085_250303_235918_s4/232394780/ccs	12133
m84085_250303_235918_s4/220600223/ccs	7804
m84085_250303_235918_s4/222694975/ccs	3916
m84085_250303_235918_s4/222631319/ccs	5137
m84085_250303_235918_s4/220599659/ccs	16330
m84085_250303_235918_s4/216012293/ccs	13228
m84085_250303_235918_s4/231542374/ccs	11072
m84085_250303_235918_s4/221189532/ccs	9145
m84085_250303_235918_s4/211817980/ccs	9367
m84085_250303_235918_s4/260117391/ccs	6307
m84085_250303_235918_s4/236393486/ccs	9283
m84085_250303_235918_s4/242880682/ccs	5613
m84085_250303_235918_s4/217650381/ccs	5892
